Date,Reason,URL,Status_Code,Additional_Info
2026-04-08,Month Archive Request Failed,https://kerala-lottery-result.com/archive/2026/04,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026/04 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa65139ceb0>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-05-02,Official Portal Failed,https://statelottery.kerala.gov.in/index.php/lottery-result,N/A,"HTTPSConnectionPool(host='statelottery.kerala.gov.in', port=443): Max retries exceeded with url: /index.php/lottery-result (Caused by ConnectTimeoutError(<HTTPSConnection(host='statelottery.kerala.gov.in', port=443) at 0x7fefc9ccc850>, 'Connection to statelottery.kerala.gov.in timed out. (connect timeout=15)'))"
2026-04-08,Year Archive Fallback Failed,https://kerala-lottery-result.com/archive/2026,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa6513449a0>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-08,Header Resolution Warning: Draw No not detected,https://www.keralalotteries.net/feeds/posts/default?q=08-04-2026&alt=json,N/A,Check header/footer patterns
2026-04-09,Official Portal Failed,https://statelottery.kerala.gov.in/index.php/lottery-result,N/A,"HTTPSConnectionPool(host='statelottery.kerala.gov.in', port=443): Max retries exceeded with url: /index.php/lottery-result (Caused by ConnectTimeoutError(<HTTPSConnection(host='statelottery.kerala.gov.in', port=443) at 0x7fa65139e6e0>, 'Connection to statelottery.kerala.gov.in timed out. (connect timeout=15)'))"
2026-05-02,Month Archive Request Failed,https://kerala-lottery-result.com/archive/2026/05,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026/05 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fefc9ccc2e0>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-09,Month Archive Request Failed,https://kerala-lottery-result.com/archive/2026/04,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026/04 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa65139e560>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-05-02,Year Archive Fallback Failed,https://kerala-lottery-result.com/archive/2026,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fefc9ccdcf0>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-05-02,Header Resolution Warning: Draw No not detected,https://www.keralalotteries.net/feeds/posts/default?q=02-05-2026&alt=json,N/A,Check header/footer patterns
2026-04-09,Year Archive Fallback Failed,https://kerala-lottery-result.com/archive/2026,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa65139f820>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-09,Results not found for Karunya Plus (tried both PDF and Portal Feed),N/A,N/A,N/A
2026-04-10,Official Portal Failed,https://statelottery.kerala.gov.in/index.php/lottery-result,N/A,"HTTPSConnectionPool(host='statelottery.kerala.gov.in', port=443): Max retries exceeded with url: /index.php/lottery-result (Caused by ConnectTimeoutError(<HTTPSConnection(host='statelottery.kerala.gov.in', port=443) at 0x7fa65139f880>, 'Connection to statelottery.kerala.gov.in timed out. (connect timeout=15)'))"
2026-04-10,Month Archive Request Failed,https://kerala-lottery-result.com/archive/2026/04,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026/04 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa6513cca30>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-10,Year Archive Fallback Failed,https://kerala-lottery-result.com/archive/2026,N/A,"HTTPSConnectionPool(host='kerala-lottery-result.com', port=443): Max retries exceeded with url: /archive/2026 (Caused by ConnectTimeoutError(<HTTPSConnection(host='kerala-lottery-result.com', port=443) at 0x7fa6513cd960>, 'Connection to kerala-lottery-result.com timed out. (connect timeout=15)'))"
2026-04-10,Results not found for Nirmal (tried both PDF and Portal Feed),N/A,N/A,N/A
